iter	Passed	Remaining
401	19596	77900
402	19649	77866
403	19709	77860
404	19760	77821
405	19800	77740
406	19852	77703
407	19911	77692
408	19967	77672
409	20013	77615
410	20063	77570
411	20114	77527
412	20155	77451
413	20204	77399
414	20259	77377
415	20307	77324
416	20364	77305
417	20411	77251
418	20460	77202
419	20507	77149
420	20555	77093
421	20620	77105
422	20672	77070
423	20725	77035
424	20771	76975
425	20829	76960
426	20883	76930
427	20939	76908
428	20986	76852
429	21031	76790
430	21086	76764
431	21147	76758
432	21215	76777
433	21266	76735
434	21307	76658
435	21354	76601
436	21400	76542
437	21447	76486
438	21503	76462
439	21567	76465
440	21621	76436
441	21674	76400
442	21731	76379
443	21778	76322
444	21829	76280
445	21874	76218
446	21932	76199
447	21980	76147
448	22026	76085
449	22071	76024
450	22115	75956
451	22174	75943
452	22228	75910
453	22276	75858
454	22341	75863
455	22395	75829
456	22443	75777
457	22501	75759
458	22551	75710
459	22612	75704
460	22672	75689
461	22739	75700
462	22802	75695
463	22844	75623
464	22891	75566
465	22946	75537
466	22993	75478
467	23047	75447
468	23101	75412
469	23154	75375
470	23207	75337
471	23252	75276
472	23298	75216
473	23349	75171
474	23398	75120
475	23444	75061
476	23489	74997
477	23557	75008
478	23609	74969
479	23663	74934
480	23733	74950
481	23790	74926
482	23840	74876
483	23886	74818
484	23958	74838
485	24022	74835
486	24084	74825
487	24132	74771
488	24200	74778
489	24263	74770
490	24312	74720
491	24386	74745
492	24447	74731
493	24510	74721
494	24559	74670
495	24623	74665
496	24673	74617
497	24736	74608
498	24801	74602
499	24850	74552
500	24907	74523
501	24961	74485
502	25012	74440
503	25084	74455
504	25135	74411
505	25191	74379
506	25254	74368
507	25311	74339
508	25358	74281
509	25417	74258
510	25463	74196
511	25511	74143
512	25572	74124
513	25626	74088
514	25670	74020
515	25719	73968
516	25767	73912
517	25826	73889
518	25876	73839
519	25933	73812
520	25980	73752
521	26049	73756
522	26097	73701
523	26149	73658
524	26210	73638
525	26267	73609
526	26330	73594
527	26388	73567
528	26438	73519
529	26511	73532
530	26593	73570
531	26658	73561
532	26729	73567
533	26785	73534
534	26850	73524
535	26918	73522
536	26991	73536
537	27064	73546
538	27120	73511
539	27184	73498
540	27240	73463
541	27293	73421
542	27356	73405
543	27412	73368
544	27469	73335
545	27522	73292
546	27574	73245
547	27628	73205
548	27681	73162
549	27733	73114
550	27785	73068
551	27835	73018
552	27888	72975
553	27936	72917
554	27986	72866
555	28042	72829
556	28102	72803
557	28168	72792
558	28227	72766
559	28291	72748
560	28344	72706
561	28409	72692
562	28463	72651
563	28516	72606
564	28570	72563
565	28623	72520
566	28690	72511
567	28744	72467
568	28822	72486
569	28872	72435
570	28947	72445
571	29015	72436
572	29069	72394
573	29121	72347
574	29176	72306
575	29228	72258
576	29302	72265
577	29369	72254
578	29421	72206
579	29485	72189
580	29552	72177
581	29601	72122
582	29671	72118
583	29740	72111
584	29822	72133
585	29888	72120
586	29966	72134
587	30034	72122
588	30095	72096
589	30155	72066
590	30209	72021
591	30261	71973
592	30315	71927
593	30365	71876
594	30432	71862
595	30509	71870
596	30569	71841
597	30622	71794
598	30680	71758
599	30734	71714
600	30787	71666
601	30839	71618
602	30895	71576
603	30947	71528
604	30997	71473
605	31046	71417
606	31099	71371
607	31151	71321
608	31199	71262
609	31265	71244
610	31321	71204
611	31377	71164
612	31434	71124
613	31492	71088
614	31555	71063
615	31615	71032
616	31677	71004
617	31741	70980
618	31803	70954
619	31860	70914
620	31916	70873
621	31981	70853
622	32057	70855
623	32111	70809
624	32163	70760
625	32215	70709
626	32278	70683
627	32345	70665
628	32407	70637
629	32457	70582
630	32513	70540
631	32576	70512
632	32643	70494
633	32703	70462
634	32781	70467
635	32852	70456
636	32913	70425
637	32968	70381
638	33026	70342
639	33082	70299
640	33148	70278
641	33201	70229
642	33270	70215
643	33350	70222
644	33416	70201
645	33479	70172
646	33543	70145
647	33616	70138
648	33676	70104
649	33730	70056
650	33798	70036
651	33870	70025
652	33927	69985
653	33984	69944
654	34064	69948
655	34128	69922
656	34203	69915
657	34273	69901
658	34357	69914
659	34437	69917
660	34516	69919
661	34591	69914
662	34662	69900
663	34731	69881
664	34786	69834
665	34851	69808
666	34919	69787
667	34981	69753
668	35045	69723
669	35131	69738
670	35203	69724
671	35257	69675
672	35320	69644
673	35391	69627
674	35466	69618
675	35524	69578
676	35601	69572
677	35677	69565
678	35753	69558
679	35833	69560
680	35894	69523
681	35967	69508
682	36023	69462
683	36106	69468
684	36168	69432
685	36240	69417
686	36298	69373
687	36354	69327
688	36421	69301
689	36492	69282
690	36565	69267
691	36638	69253
692	36695	69208
693	36754	69166
694	36811	69121
695	36878	69094
696	36934	69046
697	37021	69058
698	37077	69010
699	37166	69023
700	37220	68972
701	37282	68934
702	37364	68936
703	37422	68891
704	37481	68849
705	37544	68813
706	37609	68781
707	37666	68735
708	37736	68713
709	37805	68689
710	37862	68642
711	37933	68622
712	38005	68601
713	38061	68553
714	38130	68528
715	38190	68487
716	38262	68466
717	38322	68425
718	38378	68376
719	38433	68326
720	38493	68284
721	38553	68242
722	38612	68199
723	38671	68155
724	38726	68104
725	38789	68068
726	38845	68019
727	38905	67977
728	38964	67933
729	39025	67892
730	39082	67846
731	39138	67796
732	39196	67751
733	39252	67702
734	39333	67696
735	39418	67696
736	39503	67697
737	39585	67692
738	39697	67738
739	39801	67770
740	39891	67777
741	40020	67851
742	40128	67888
743	40197	67860
744	40264	67827
745	40348	67823
746	40401	67768
747	40460	67722
748	40532	67698
749	40594	67657
750	40675	67648
751	40731	67596
752	40790	67551
753	40878	67552
754	40950	67527
755	41041	67534
756	41111	67505
757	41195	67498
758	41275	67487
759	41334	67441
760	41392	67392
761	41447	67338
762	41507	67292
763	41600	67300
764	41660	67255
765	41718	67207
766	41778	67160
767	41840	67118
768	41919	67104
769	41983	67063
770	42039	67013
771	42125	67008
772	42193	66973
773	42269	66953
774	42347	66936
775	42406	66888
776	42468	66845
777	42544	66823
778	42626	66812
779	42708	66800
780	42787	66783
781	42877	66783
782	42955	66765
783	43035	66749
784	43117	66735
785	43188	66705
786	43248	66658
787	43302	66601
788	43379	66581
789	43434	66525
790	43521	66519
791	43596	66495
792	43652	66441
793	43723	66411
794	43804	66395
